ts,symbol,weight,dw,abs_dw,txn_cost,slippage_cost,cost
2016-01-21,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-21,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-21,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-21,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-21,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-21,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-21,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,USO,0.0,0.0,0.0,0.0,0.0,0.0
