ts,decision_ts,gross,net,exposure,turnover,txn_cost,slippage_cost,costs,window_id
2021-03-05,2021-03-04,0.01443384636147076,0.01443384636147076,1.0,0.0,0.0,0.0,0.0,16
2021-03-08,2021-03-05,-0.010971685934708576,-0.010971685934708576,1.0,0.0,0.0,0.0,0.0,16
2021-03-09,2021-03-08,0.01612466181044413,0.01612466181044413,1.0,0.0,0.0,0.0,0.0,16
2021-03-10,2021-03-09,0.005862009689274772,0.005862009689274772,1.0,0.0,0.0,0.0,0.0,16
2021-03-11,2021-03-10,0.012204634889854982,0.012204634889854982,1.0,0.0,0.0,0.0,0.0,16
2021-03-12,2021-03-11,-0.004021810604637344,-0.004021810604637344,1.0,0.0,0.0,0.0,0.0,16
2021-03-15,2021-03-12,0.003654245516903121,0.003654245516903121,1.0,0.0,0.0,0.0,0.0,16
2021-03-16,2021-03-15,-0.0022235081746529222,-0.0022235081746529222,1.0,0.0,0.0,0.0,0.0,16
2021-03-17,2021-03-16,0.0027887397779023273,0.0027887397779023273,1.0,0.0,0.0,0.0,0.0,16
2021-03-18,2021-03-17,-0.02179972054582128,-0.02179972054582128,1.0,0.0,0.0,0.0,0.0,16
2021-03-19,2021-03-18,0.004902327290950238,0.004902327290950238,1.0,0.0,0.0,0.0,0.0,16
2021-03-22,2021-03-19,0.0024448384480425856,0.0024448384480425856,1.0,0.0,0.0,0.0,0.0,16
2021-03-23,2021-03-22,-0.015603518539851691,-0.015603518539851691,1.0,0.0,0.0,0.0,0.0,16
2021-03-24,2021-03-23,-0.001982968808266472,-0.001982968808266472,1.0,0.0,0.0,0.0,0.0,16
2021-03-25,2021-03-24,0.0004841363794675478,0.0004841363794675478,1.0,0.0,0.0,0.0,0.0,16
2021-03-26,2021-03-25,0.016985477213660186,0.016985477213660186,1.0,0.0,0.0,0.0,0.0,16
2021-03-29,2021-03-26,-0.0064724152138995635,-0.0064724152138995635,1.0,0.0,0.0,0.0,0.0,16
2021-03-30,2021-03-29,-0.002111536222461208,-0.002111536222461208,1.0,0.0,0.0,0.0,0.0,16
2021-03-31,2021-03-30,0.003592851566380773,0.003592851566380773,1.0,0.0,0.0,0.0,0.0,16
2021-04-01,2021-03-31,0.015591312649745583,0.015591312649745583,1.0,0.0,0.0,0.0,0.0,16
2021-04-05,2021-04-01,0.004476793647760435,0.004476793647760435,1.0,0.0,0.0,0.0,0.0,16
2021-04-06,2021-04-05,0.0009652262535558288,0.0009652262535558288,1.0,0.0,0.0,0.0,0.0,16
2021-04-08,2021-04-07,0.007032285533575234,0.006832285533575234,1.0,1.0,0.0002,0.0,0.0002,17
2021-04-09,2021-04-08,0.001068550941876423,0.001068550941876423,1.0,0.0,0.0,0.0,0.0,17
2021-04-12,2021-04-09,-0.001696972947868003,-0.001696972947868003,1.0,0.0,0.0,0.0,0.0,17
2021-04-13,2021-04-12,0.004883922017762654,0.004883922017762654,1.0,0.0,0.0,0.0,0.0,17
2021-04-14,2021-04-13,0.0027749796342978698,0.0027749796342978698,1.0,0.0,0.0,0.0,0.0,17
2021-04-15,2021-04-14,0.010225097880831802,0.010225097880831802,1.0,0.0,0.0,0.0,0.0,17
2021-04-16,2021-04-15,0.0019046385194899653,0.0019046385194899653,1.0,0.0,0.0,0.0,0.0,17
2021-04-19,2021-04-16,-0.004603283431308914,-0.004603283431308914,1.0,0.0,0.0,0.0,0.0,17
2021-04-20,2021-04-19,-0.009393819921958913,-0.009393819921958913,1.0,0.0,0.0,0.0,0.0,17
2021-04-21,2021-04-20,0.007206919719911243,0.007206919719911243,1.0,0.0,0.0,0.0,0.0,17
2021-04-22,2021-04-21,-0.00494504888267634,-0.00494504888267634,1.0,0.0,0.0,0.0,0.0,17
2021-04-23,2021-04-22,0.010326261099600099,0.010326261099600099,1.0,0.0,0.0,0.0,0.0,17
2021-04-26,2021-04-23,0.0028275431406385334,0.0028275431406385334,1.0,0.0,0.0,0.0,0.0,17
2021-04-27,2021-04-26,0.0005737555838999042,0.0005737555838999042,1.0,0.0,0.0,0.0,0.0,17
2021-04-28,2021-04-27,0.0016025390646737581,0.0016025390646737581,1.0,0.0,0.0,0.0,0.0,17
2021-04-29,2021-04-28,0.003091822084591278,0.003091822084591278,1.0,0.0,0.0,0.0,0.0,17
2021-04-30,2021-04-29,-0.010268898312432828,-0.010268898312432828,1.0,0.0,0.0,0.0,0.0,17
2021-05-03,2021-04-30,0.004342652059016627,0.004342652059016627,1.0,0.0,0.0,0.0,0.0,17
2021-05-04,2021-05-03,-0.005252325541998038,-0.005252325541998038,1.0,0.0,0.0,0.0,0.0,17
2021-05-05,2021-05-04,0.00181403817503365,0.00181403817503365,1.0,0.0,0.0,0.0,0.0,17
2021-05-06,2021-05-05,0.0071750427336189195,0.0071750427336189195,1.0,0.0,0.0,0.0,0.0,17
2021-05-07,2021-05-06,0.006803399228245155,0.006803399228245155,1.0,0.0,0.0,0.0,0.0,17
2021-05-10,2021-05-07,-0.011585761798317364,-0.011585761798317364,1.0,0.0,0.0,0.0,0.0,17
2021-05-11,2021-05-10,-0.004690504908730775,-0.004690504908730775,1.0,0.0,0.0,0.0,0.0,17
2021-05-12,2021-05-11,-0.017421059485017643,-0.017421059485017643,1.0,0.0,0.0,0.0,0.0,17
2021-05-13,2021-05-12,0.00480789088169108,0.00480789088169108,1.0,0.0,0.0,0.0,0.0,17
2021-05-14,2021-05-13,0.017352737163085497,0.017352737163085497,1.0,0.0,0.0,0.0,0.0,17
2021-05-17,2021-05-14,0.0009143621295072069,0.0009143621295072069,1.0,0.0,0.0,0.0,0.0,17
2021-05-18,2021-05-17,-0.004209158790781831,-0.004209158790781831,1.0,0.0,0.0,0.0,0.0,17
2021-05-19,2021-05-18,-0.005676320544108849,-0.005676320544108849,1.0,0.0,0.0,0.0,0.0,17
2021-05-20,2021-05-19,0.0066324330512407045,0.0066324330512407045,1.0,0.0,0.0,0.0,0.0,17
2021-05-21,2021-05-20,0.002293537233480503,0.002293537233480503,1.0,0.0,0.0,0.0,0.0,17
2021-05-24,2021-05-21,0.010614733670670451,0.010614733670670451,1.0,0.0,0.0,0.0,0.0,17
2021-05-25,2021-05-24,0.0005979025342019663,0.0005979025342019663,1.0,0.0,0.0,0.0,0.0,17
2021-05-26,2021-05-25,0.0036534553443374864,0.0036534553443374864,1.0,0.0,0.0,0.0,0.0,17
2021-05-27,2021-05-26,0.0019447955241650105,0.0019447955241650105,1.0,0.0,0.0,0.0,0.0,17
2021-05-28,2021-05-27,0.0017782665967934097,0.0017782665967934097,1.0,0.0,0.0,0.0,0.0,17
2021-06-01,2021-05-28,0.004815360936461721,0.004815360936461721,1.0,0.0,0.0,0.0,0.0,17
2021-06-02,2021-06-01,0.003762158261645743,0.003762158261645743,1.0,0.0,0.0,0.0,0.0,17
2021-06-03,2021-06-02,-0.006688483667351953,-0.006688483667351953,1.0,0.0,0.0,0.0,0.0,17
2021-06-04,2021-06-03,0.010044917722404302,0.010044917722404302,1.0,0.0,0.0,0.0,0.0,17
2021-06-07,2021-06-04,0.000815953045805351,0.000815953045805351,1.0,0.0,0.0,0.0,0.0,17
2021-06-08,2021-06-07,0.002023595271907164,0.002023595271907164,1.0,0.0,0.0,0.0,0.0,17
2021-06-09,2021-06-08,-0.002156569537399966,-0.002156569537399966,1.0,0.0,0.0,0.0,0.0,17
2021-06-10,2021-06-09,0.0010256583889065472,0.0010256583889065472,1.0,0.0,0.0,0.0,0.0,17
2021-06-11,2021-06-10,0.0018283394233829854,0.0018283394233829854,1.0,0.0,0.0,0.0,0.0,17
2021-06-14,2021-06-11,0.0004768278941932768,0.0004768278941932768,1.0,0.0,0.0,0.0,0.0,17
2021-06-15,2021-06-14,-0.0012419391488392218,-0.0012419391488392218,1.0,0.0,0.0,0.0,0.0,17
2021-06-16,2021-06-15,-0.006005366477165642,-0.006005366477165642,1.0,0.0,0.0,0.0,0.0,17
2021-06-17,2021-06-16,-0.0048603463158424795,-0.0048603463158424795,1.0,0.0,0.0,0.0,0.0,17
2021-06-18,2021-06-17,-0.008823394329253954,-0.008823394329253954,1.0,0.0,0.0,0.0,0.0,17
2021-06-21,2021-06-18,0.010245989718574667,0.010245989718574667,1.0,0.0,0.0,0.0,0.0,17
2021-06-22,2021-06-21,0.002494765942992372,0.002494765942992372,1.0,0.0,0.0,0.0,0.0,17
2021-06-23,2021-06-22,0.0005924796659963928,0.0005924796659963928,1.0,0.0,0.0,0.0,0.0,17
2021-06-24,2021-06-23,0.0067207015744635175,0.0067207015744635175,1.0,0.0,0.0,0.0,0.0,17
2021-06-25,2021-06-24,0.0026536899831234306,0.0026536899831234306,1.0,0.0,0.0,0.0,0.0,17
2021-06-28,2021-06-25,2.7088800279464857e-06,2.7088800279464857e-06,1.0,0.0,0.0,0.0,0.0,17
2021-06-29,2021-06-28,8.924882363401385e-05,8.924882363401385e-05,1.0,0.0,0.0,0.0,0.0,17
2021-06-30,2021-06-29,-0.0002360169295672844,-0.0002360169295672844,1.0,0.0,0.0,0.0,0.0,17
2021-07-01,2021-06-30,0.003815314326350661,0.003815314326350661,1.0,0.0,0.0,0.0,0.0,17
