Date,Open,High,Low,Close,Volume
2023-01-19,377.538,379.207,375.502,376.84,89681892
2023-01-18,386.895,387.972,379.399,379.603,102752079
2023-01-17,386.383,388.078,385.005,385.691,64639915
2023-01-13,381.668,386.982,381.398,386.401,65904976
2023-01-12,384.626,386.388,380.507,384.907,92980836
2023-01-11,380.32,383.588,379.497,383.51,71037975
2023-01-10,375.492,378.789,374.542,378.721,67404673
2023-01-09,378.517,381.747,375.899,376.084,76294570
2023-01-06,370.993,377.431,367.893,376.297,107452126
2023-01-05,370.13,370.246,367.26,367.861,79380657
2023-01-04,371.546,374.164,368.462,372.108,88624980
2023-01-03,372.699,374.698,366.359,369.257,77194556
