ts,decision_ts,gross,net,exposure,turnover,txn_cost,slippage_cost,costs
2016-05-20,2016-05-19,0.0065842115372472245,0.006574416051434365,1.0,0.005086307211737223,1.0172614423474447e-06,8.778224370511895e-06,9.79548581285934e-06
2016-05-23,2016-05-20,-0.0023461741565571352,-0.0024082612285107685,0.9999999999999999,0.030753343913533293,6.150668782706659e-06,5.593640317092688e-05,6.208707195363354e-05
2016-05-24,2016-05-23,0.00742984278946429,0.006780481256132462,1.0,0.3593544596357192,7.187089192714385e-05,0.0005774906414046842,0.000649361533331828
2016-05-25,2016-05-24,0.0053340859976117325,0.005263659476480022,0.9999999999999999,0.032681314285080434,6.5362628570160875e-06,6.389025827469459e-05,7.042652113171067e-05
2016-05-26,2016-05-25,-0.0006036533362481859,-0.0012328002793322562,0.960856559879139,0.3333366259822876,6.666732519645752e-05,0.0005624796178876126,0.0006291469430840702
2016-05-27,2016-05-26,0.0014194675063040165,0.0007337110165073043,0.95039684310253,0.32779125766825973,6.555825153365195e-05,0.0006201982382630603,0.0006857564897967122
2016-05-31,2016-05-27,0.00015861436284401168,-0.0005375302244507154,1.0000000000000002,0.3750949097956966,7.501898195913932e-05,0.0006211256053355878,0.0006961445872947271
2016-06-01,2016-05-31,0.0024130962501986604,0.002371185127105405,1.0,0.023639262945570616,4.727852589114123e-06,3.718327050414144e-05,4.1911123093255565e-05
2016-06-02,2016-06-01,0.0027566156063096735,0.002694718046441586,1.0,0.03177220615887667,6.354441231775335e-06,5.554311863631221e-05,6.189755986808754e-05
2016-06-03,2016-06-02,0.0036329588776375936,0.0036092869567880765,1.0000000000000002,0.01192309344336151,2.384618688672302e-06,2.1287302160844957e-05,2.367192084951726e-05
2016-06-06,2016-06-03,0.0038370301837799877,0.0036900401717187095,1.0,0.07234384587738187,1.4468769175476375e-05,0.00013252124288580202,0.0001469900120612784
2016-06-07,2016-06-06,0.0035954498145889177,0.0028860324035401477,1.0,0.37088650133334755,7.417730026666951e-05,0.0006352401107821006,0.0007094174110487702
2016-06-08,2016-06-07,0.005024544316120565,0.0049855200714602945,1.0,0.016263905233993653,3.2527810467987305e-06,3.577146361347204e-05,3.902424466027077e-05
2016-06-09,2016-06-08,-0.004754640057998167,-0.0048090451109279175,0.9999999999999999,0.03191226920887248,6.3824538417744965e-06,4.802259908797595e-05,5.4405052929750445e-05
2016-06-10,2016-06-09,-0.013401392769941269,-0.01344815057183933,0.9999999999999999,0.024491858603483144,4.898371720696629e-06,4.1859430177365396e-05,4.6757801898062025e-05
2016-06-13,2016-06-10,-0.007452067326254594,-0.008482599024628428,1.0,0.5616617639059598,0.00011233235278119198,0.0009181993455926429,0.0010305316983738348
2016-06-14,2016-06-13,-0.0040114708456099836,-0.00406383493314074,1.0,0.030825549629928048,6.165109925985609e-06,4.619897760477056e-05,5.236408753075618e-05
2016-06-15,2016-06-14,-0.001954945002380904,-0.0023552937394558204,1.0000000000000002,0.20376182934687337,4.075236586937467e-05,0.0003595963712055416,0.0004003487370749163
2016-06-16,2016-06-15,0.00034409005176106843,0.0002741735850545899,1.0,0.040010141948293707,8.002028389658741e-06,6.191443831681977e-05,6.991646670647852e-05
2016-06-17,2016-06-16,-0.0048462381969635445,-0.004918022509619202,1.0,0.04221855213339373,8.443710426678747e-06,6.334060222897906e-05,7.17843126556578e-05
2016-06-20,2016-06-17,0.004080855133901,0.003972896785881679,1.0,0.052446251136443134,1.0489250227288628e-05,9.746909779203236e-05,0.000107958348019321
2016-06-21,2016-06-20,0.0017172380787929555,0.001659034932294002,1.0,0.035118747474391754,7.0237494948783515e-06,5.117939700407525e-05,5.8203146498953605e-05
2016-06-22,2016-06-21,-0.002273958705823149,-0.002291229188914798,0.9999999999999999,0.010188921630486139,2.037784326097228e-06,1.5232698765551802e-05,1.727048309164903e-05
2016-06-23,2016-06-22,0.01264221344208238,0.012307854392658454,1.0,0.1698947233747838,3.397894467495676e-05,0.0003003801047489691,0.0003343590494239259
2016-06-24,2016-06-23,-0.03274732071144903,-0.03279373178484692,1.0,0.020386190552152864,4.077238110430573e-06,4.23338352874659e-05,4.641107339789647e-05
2016-06-27,2016-06-24,-0.007959170191517933,-0.009002791348030045,0.7960397963543305,0.3805405763702284,7.610811527404569e-05,0.0009675130412380655,0.0010436211565121112
2016-06-28,2016-06-27,0.010589895418517884,0.010459805561500737,0.7465594532118527,0.05279464566241839,1.0558929132483679e-05,0.00011953092788466268,0.00013008985701714636
2016-06-29,2016-06-28,0.009395422970606727,0.009274474065220802,0.7043189528190139,0.04224050039283879,8.448100078567759e-06,0.00011250080530735793,0.00012094890538592569
2016-06-30,2016-06-29,0.005415929170737346,0.00532663283810504,0.6748115991152644,0.030032095169587464,6.006419033917493e-06,8.328991359838857e-05,8.929633263230608e-05
2016-07-01,2016-06-30,0.0053068729954935685,0.005271890420631772,0.665046019649363,0.011728993149782645,2.345798629956529e-06,3.263677623183959e-05,3.4982574861796117e-05
2016-07-05,2016-07-01,-0.004609142971746375,-0.004633219042484225,0.6707816594605264,0.007924311312333662,1.5848622624667327e-06,2.2491208475383145e-05,2.4076070737849878e-05
2016-07-06,2016-07-05,0.003234817616047864,0.0032021115104059568,0.6649762328829601,0.007521155285840665,1.5042310571681331e-06,3.1201874584738955e-05,3.270610564190709e-05
2016-07-07,2016-07-06,-0.0027976826922043313,-0.0033062658081877043,0.6607707063358105,0.16855807645856624,3.371161529171325e-05,0.00047487150069166,0.0005085831159833732
2016-07-08,2016-07-07,0.00847098209974116,0.008452663546685453,0.6603506259023846,0.004359148083154359,8.718296166308718e-07,1.7446723439075632e-05,1.8318553055706503e-05
